Country;NumberOfNewLimitedLiabilityCompanies;GenZNumberSince1997To2004;AdultButNotZ;PCofCompletedTertiaryEducation;CorruptionIndex;ImmigrationPercPopulation
Albania;3365;417177;1447999;12.9;35;1.7
Armenia;11723;291680;1553827;24.2;49;6.42
Austria;5657;631453;5294898;42.44;74;19.3
Azerbaijan;15497;956728;6105963;15.7;30;2.49
Belarus;7820;727543;5353858;28.3;41;11.29
Belgium;47171;912005;6525784;50.87;73;17.3
Bulgaria;39989;549380;3564116;26.1;42;12.86
Croatia;15309;352556;2097069;21.13;47;15.77
Cyprus;11053;67553;796737;29.8;53;5.05
Czechia;27121;736423;5937536;35.04;54;12.39
Denmark;27333;525863;3219810;49.04;88;15.02
Estonia;20608;102897;744504;43.18;74;6.97
Finland;20896;456885;2963509;40.06;88;13.06
France;278530;6040039;35492768;50.26;71;1.99
Georgia;20233;384408;1996318;28.4;55;18.81
Germany;74773;6001018;47497787;35.88;80;12.86
Greece;14032;822768;5866768;44.18;49;6.05
Hungary;27399;773528;5573798;32.91;43;19.17
Iceland;3052;33261;219513;41.92;74;17.64
Ireland;21263;457027;2863738;62.88;74;22.57
Israel;16898;1089220;4435876;46.01;59;10.56
Italy;106479;4275154;33108462;28.27;56;19.88
Kazakhstan;41211;1852821;9946648;34.1;37;3.05
Kyrgyzstan;4936;809849;3031597;9.96;27;12.69
Latvia;7929;158493;1020195;45.5;59;5.33
Lithuania;5334;265867;1543857;57.48;61;47.62
Luxembourg;8506;43753;406398;63.12;81;25.99
Malta;2756;33755;320717;21.8;54;2.59
Montenegro;3270;69512;339479;10.45;36;11.3
Netherlands;39055;1597905;9778163;55.6;46;13.76
North Macedonia;6478;220482;1200993;10.23;82;6.3
Norway;32439;462224;3077118;55.03;39;15.72
Poland;53717;2997777;21903656;40.64;85;2.16
Portugal;46119;911297;5723008;47.45;56;9.83
Republic of Moldova;5437;309251;1445980;20.1;62;3.67
Romania;113931;1802926;10602129;24.32;45;7.97
Russian Federation;240458;10685299;84776136;62.09;29;9.42
Serbia;11110;658699;3735770;18.6;38;3.61
Slovakia;20035;435504;3219135;39.5;52;13.37
Slovenia;3720;141034;1206958;47.95;57;14.63
Spain;96655;3233688;28162279;48.73;61;3.15
Sweden;60215;745391;5772370;49.22;85;19.84
Switzerland;26347;605996;5088354;52.27;84;28.79
Tajikistan;831;1416719;4091783;3.32;25;2.89
Turkey;142220;10486325;47658101;39.83;38;7.18
Ukraine;51349;3239167;27344758;18.47;32;11.43
United Kingdom;790311;5570958;36864402;57.47;78;13.79
Uzbekistan;61677;4323106;18051776;16.4;28;3.47
